frame,cpu_usage,memory_usage,fps,blink_total,voice_detected,lip_open_count,gaze_direction,iris_gaze_direction,suspicious
0,16.5,86.5,14.65069667850793,0,0,0,0,1,0
1,47.2,86.5,40.678744617294484,0,0,0,0,1,0
2,36.0,86.6,69.20380147835269,0,0,0,0,1,0
3,28.8,86.6,25.057525375327835,0,0,0,0,1,0
4,26.9,86.6,52.862270619076426,0,0,0,0,1,0
5,34.6,86.5,25.47638108543141,0,0,0,0,1,0
6,19.2,86.6,51.16127930521334,0,0,0,0,1,0
7,19.2,86.6,57.43183031863181,0,0,0,0,1,0
8,0.0,86.6,25.529880090084607,0,0,0,0,1,0
9,0.0,86.6,52.52334201562813,0,0,0,0,1,0
10,0.0,86.6,53.650694568804525,0,0,0,0,1,0
11,0.0,86.6,53.15435697267704,0,0,0,0,1,0
12,0.0,86.6,55.06359292128341,0,0,0,0,1,0
13,0.0,86.6,57.74414890687813,0,0,0,0,1,0
14,0.0,86.6,54.71092965315732,0,0,0,0,1,0
15,0.0,86.6,52.86493571968742,0,0,0,0,1,0
16,0.0,86.6,19.863814390513042,0,0,0,0,1,0
17,0.0,86.6,48.50364271341675,0,0,0,0,1,0
18,0.0,86.6,49.49031268436578,0,0,0,0,1,0
19,0.0,86.6,61.375867013960026,0,0,0,0,1,0
20,31.1,86.4,54.69523374845146,0,0,0,0,1,0
21,13.3,86.4,49.93278491410612,0,0,0,0,1,0
22,8.7,86.4,56.79567766658993,0,0,0,0,1,0
23,11.5,86.4,51.75214075956864,0,0,0,0,1,0
24,8.0,86.4,59.00074554431769,0,0,0,0,1,0
25,22.2,86.2,50.32762179025678,0,0,0,0,1,0
26,17.2,86.1,58.771740044278786,0,0,0,0,1,0
27,22.2,86.0,54.83682194359826,0,0,0,0,1,0
28,11.1,85.9,53.69671365108628,0,0,0,0,1,0
29,0.0,85.9,54.92370950422963,0,0,0,0,1,0
30,0.0,85.9,52.75389588338134,1,0,0,0,1,0
31,0.0,85.9,57.0638077875432,1,0,0,0,1,0
32,0.0,85.9,53.647949655931036,1,0,0,0,1,0
33,0.0,85.9,54.794554908159796,1,0,0,0,1,0
34,0.0,85.9,55.64803905959773,1,0,0,0,1,0
35,0.0,85.9,63.004025716517454,1,0,0,0,1,0
36,0.0,85.9,47.60358192693141,1,0,0,0,1,0
37,0.0,85.9,58.55840058079468,1,0,0,0,1,0
38,0.0,85.9,63.7393471521488,1,0,0,0,1,0
39,0.0,85.9,46.04268024940722,1,0,0,0,1,0
40,0.0,85.9,60.45930752154986,1,0,0,0,1,0
41,0.0,85.9,54.543733257041794,1,0,0,0,1,0
42,0.0,85.9,51.76299843265991,1,0,0,0,1,0
43,0.0,85.9,55.81317116661565,1,0,0,0,1,0
44,0.0,85.9,52.66711871217258,1,0,0,0,1,0
45,0.0,85.9,57.94838353136225,1,0,0,0,1,0
46,0.0,85.9,55.89796761511295,1,0,0,0,1,0
47,0.0,85.9,52.10574438481415,1,0,0,0,1,0
48,0.0,85.9,24.450310124516157,1,0,0,0,1,0
49,13.9,85.5,35.667366809813345,1,0,0,0,1,0
50,17.9,85.7,54.878436195684884,1,0,0,0,1,0
51,15.4,85.7,53.231261263547985,1,0,0,0,1,0
52,17.9,85.7,52.26286540234754,1,0,0,0,1,0
53,15.4,85.7,55.61483485155867,1,0,0,0,1,0
54,18.2,85.7,65.04107804673811,1,0,0,0,1,0
55,13.3,85.7,48.67588896109925,1,0,0,0,1,0
56,8.3,85.7,54.56431071042943,1,0,0,0,1,0
57,0.0,85.7,53.573943032315746,1,0,0,0,1,0
58,0.0,85.7,54.362050417989764,1,0,0,0,1,0
59,0.0,85.7,53.2961955831152,1,0,0,0,1,0
60,0.0,85.7,57.4514971372216,1,0,0,0,1,0
61,0.0,85.7,61.10137664797145,1,0,0,0,1,0
62,0.0,85.7,50.34514049765337,1,0,0,0,1,0
63,0.0,85.7,53.03405110827317,1,0,0,0,1,0
64,0.0,85.7,56.59260058828291,1,0,0,0,1,0
65,0.0,85.7,52.33655681860721,1,0,0,0,1,0
66,0.0,85.7,54.650336165111796,1,0,0,0,1,0
67,0.0,85.7,55.343317455500284,1,0,0,0,1,0
68,0.0,85.7,53.69121468528783,1,0,0,0,1,0
69,0.0,85.7,54.9661761044203,1,0,0,0,1,0
70,0.0,85.7,58.42869680295326,1,0,0,0,1,0
71,0.0,85.7,50.812948245784064,1,0,0,0,1,0
72,0.0,85.7,59.04809100123888,1,0,0,0,1,0
73,0.0,85.7,51.11950176114273,1,0,0,0,1,0
74,0.0,85.7,56.166693449033154,1,0,0,0,1,0
75,0.0,85.7,55.875627789249315,1,0,0,0,1,0
76,0.0,85.7,52.89360253225217,1,0,0,0,1,0
77,0.0,85.7,61.93139904023625,1,0,0,0,1,0
78,0.0,85.7,55.43621464446207,1,0,0,0,1,0
79,0.0,85.7,57.19453459514004,1,0,0,0,1,0
80,16.7,85.3,21.737663966499266,1,0,0,0,1,0
81,17.1,85.3,38.73536446837395,1,0,0,0,1,0
82,12.0,85.3,58.11619625611395,1,0,0,0,1,0
83,7.7,85.3,49.59858097321587,1,0,0,0,1,0
